"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Albert Hammond","9128","IT NEVER RAINS IN SOUTHERN CALIFORNIA","Got on a board a west bound seven forty","EUA","INT02-8E"
"Alceu Valença","3903","ANUNCIAÇÃO","Na bruma leve das paixões","BRA","2H"
"Alceu Valença","6452","COMO DOIS ANIMAIS","Uma moça bonita de olhar agateado","BRA","6B"
"Alceu Valença","4071","CORAÇÃO BOBO","Meu coração tá batendo","BRA","3D"
"Alceu Valença","15223","DONA DE 7 COLINAS","Ela é dona de sete colinas debruçadas ","BRA","24B"
"Alceu Valença","16674","EU VOU FAZER VOCE VOAR","Eu vou fazer voce voar","BRA","33B"
"Alceu Valença","16854","GIRASSOL","Mar e Sol gira gira girassol","BRA","34C"
"Alceu Valença","3880","LA BELLE DE JOUR","Ah! eh! ah! Eh... La belle de jour... Eu lembro","BRA","2G"
"Alceu Valença","1120","SOLIDÃO","A solidão é fera a solidão ...","BRA","15B"
"Alceu Valença","3277","TROPICANA (MORENA TROPICANA)","Da manga rosa quero o gosto e o sumo","BRA",""
"Alceu Valenca - Ivete Sangalo","17832","BICHO MALUCO BELEZA","O o-uo bicho maluco beleza","BRA","40M"
"Alcione","6246","ALÉM DA CAMA","De amor eu não morro o que posso ","BRA","5E"
"Alcione","6521","A LOBA","Sou doce dengosa polida fiel como um cão","BRA","6D"
"Alcione","16633","AMOR SURREAL","Se ajoelha e me pede perdao","BRA","33A"
"Alcione","15022","A PAIXÃO TEM MEMÓRIA","Lá vem você de novo procurar por mim","BRA","23A"
"Alcione","3060","DELÍRIO DO AMOR (CHAMEGO)","Você acaba dando um jeito","BRA","1C"
"Alcione","1165","EU VOU PRA LAPA","É ela a dama da noite","BRA","16A"
"Alcione","1604","FAZ UMA LOUCURA POR MIM","Faz uma loucura por mim...","BRA","18D"
"Alcione","1979","GAROTO MAROTO","Você faz de conta que quer meu ","BRA","21A"
"Alcione","2797","MELHORES MOMENTOS","Como posso explicar para o meu","BRA","22A"
"Alcione","9282","MENINO SEM JUÍZO","Sabe meu menino sem juízo eu já aprendi a te","BRA","12B"
"Alcione","6940","MEU ÉBANO","É você é um negão de tirar o chapéu não posso","BRA","8C"
"Alcione","9286","MEU VÍCIO É VOCÊ","Meu cigarro é o perfume do mato ","BRA","12D"
"Alcione","16788","MULHER IDEAL","Eu sou aquilo que sou","BRA","34A"
"Alcione","7186","NA HORA DA RAIVA","Na hora da raiva eu lhe disse","BRA","9C"
"Alcione","2694","NÃO CHORE, NÃO","Pra quê chorar a vida é mesmo assim","BRA","21B"
"Alcione","3169","NÃO DEIXE O SAMBA MORRER","Não deixe o samba morrer","BRA","1D"
"Alcione","16274","NEM MORTA","Eu só fico em teus braços porque não tenho","BRA","30D"
"Alcione","6626","O MUNDO É DE NÓS DOIS","Esse nosso amor é a perfeição","BRA","6F"
"Alcione","1600","O QUE EU FAÇO AMANHÃ?","De repente você vem dizer que ","BRA","18C"
"Alcione","7201","O SURDO","Amigo que ironia desta vida","BRA","9F"
"Alcione","9316","PIOR É QUE EU GOSTO","De repente é mais uma vez","BRA","12E"
"Alcione","1795","QUALQUER DIA DESSES","Qualquer dia desses que eu me ","BRA","19D"
"Alcione","1624","QUEM É VOCÊ?","Quem é você Que entra em ...","BRA","18D"
"Alcione","7232","RIO ANTIGO","Quero o bate-papo na esquina","BRA","9D"
"Alcione","9337","SE NÃO É AMOR","Se não é amor por que você...","BRA","12D"
"Alcione","3263","SUFOCO","Não sei se vou aturar esses abusos não sei se","BRA","1D"
"Alcione","3270","TÔ COM SAUDADE","Tô com saudade amor","BRA","1J"
"Alcione","17440","UM SER DE LUZ","Um dia um ser de luz nasceu numa cidade do","BRA","38D"
"Alcione","6759","VOCÊ ME VIRA A CABEÇA","Você me vira a cabeça me tira do sério","BRA","7C"
"Alcione - Alexandre Pires","4079","ESTRANHA LOUCURA","Minha estranha loucura","BRA","3D"
"Alcione - Djavan","4196","GOSTOSO VENENO","Esse amor me envenena","BRA","3G"
"Alcione - Gonzaguinha","15739","MESA DE BAR","Mesa de bar é lugar pra todo mundo que é ","BRA","27C"
"Alda Célia","2402","A COLHEITA","Voz do que clama em meio...
","BRA","EVAN04A"
"Alda Célia","7755","CHUVA DE AVIVAMENTO","Nos últimos dias diz o Senhor ","BRA","EVB"
"Alda Célia","2462","MOSTRA-ME TUA GLÓRIA","Santifica-me purifica-me Senhor","BRA","EVAN04B"
"Alda Célia","2426","ÓLEO DE ALEGRIA","O Espírito de Deus...
","BRA","EVAN04A"
"Alda Célia","2428","PODER DA ORAÇÃO","Eu creio no poder...
","BRA","EVAN04A"
"Alda Célia","7875","SOPRA ESPÍRITO DE DEUS","Sopra dos quatro cantos Espírito...","BRA","EVB"
"Alda Célia","2439","VOAR COMO A ÁGUIA","É tempo de quebrar cadeias...
","BRA","EVAN04A"
"Alejandro Sanz","4105","CORAZÓN PARTÍO","Tiritas pa este corazón partío","ESP","3E"
"Alejandro Sanz - Alicia Keys","20087","LOOKING FOR PARADISE","Oh oh oh... Driving in a fast car","EUA","INT11D"
"Alemão do Forro","17174","FICA AMOR","Fica amor por favor não diz ja vou","BRA","36G"
"Alem do Véu","2965","ALÉM DO VÉU","Procurei de muitas formas ale...","BRA","EVAN04D"
"Alem do Véu","2980","FILHOS DE DEUS","Algo em nós nos torna diferentes","BRA","EVAN04D"
"Alem do Véu","2424","NASCI PRA VENCER","Não posso deixar meu sonho...
","BRA","EVAN04A"
"Alessi Brothers","9242","ALL FOR A REASON","I know it's late and I'm a little drunk but I","EUA",""
"Alessi Brothers","20344","FOREVER","Don´t explain yourself doesn´t matter","EUA","INT13G"
"Alessi Brothers","20377","SAD SONGS","It`s early in the morning","EUA","INT13K"
