"Interprete","Codigo","Nome","Trecho","Idioma","Pacotes"
"Alesso - Anitta","20704","IS THAT FOR ME","Ooh come a little bit closer","EUA","INT15L"
"Alesso - Katy Perry","20500","WHEN I´M GONE","When I`m gone I`m never really gone","EUA","INT14F"
"Alexandre Peixe","1077","EU SOU MAIS VOCÊ","Ô ô... ô ô ô ô... Não quero ficar tentando dizer","BRA","15A"
"Alexandre Peixe","9569","VOCÊ VAI PIRAR","Você vai pirar vai enlouquecer vou te encher","BRA","13B"
"Alexandre Pires","9575","A DEUS EU PEÇO","Que a menina dos meus olhos nunca venha","BRA","14A"
"Alexandre Pires","6443","A MUSA DAS MINHAS CANÇÕES","No palco de um pequeno bar eu nunca imaginei","BRA","6B"
"Alexandre Pires","6649","BUM, BUM, BUM","Amiga olha só como mudou ...","BRA","7A"
"Alexandre Pires","1210","CIGANO","Era lindo o nosso amor a história de nós","BRA","16B"
"Alexandre Pires","6816","COISA DO DESTINO","Isso é coisa do destino eu ...","BRA","7E"
"Alexandre Pires","1073","DESSA VEZ EU ME RENDO","Dizem que amor não mata mas judia da","BRA","15A"
"Alexandre Pires","6251","É POR AMOR","A noite de lua cheia é quase imprescindível","BRA","5E"
"Alexandre Pires","1786","ERRO MEU","Se o amor bater deixa entrar","BRA","19D"
"Alexandre Pires","7603","EU TIRO A SUA ROUPA","Às vezes em silêncios a emoção ","BRA","11C"
"Alexandre Pires","1558","LEVE TUDO COM VOCÊ","Como pude mentir o meu bem eu traí","BRA","18B"
"Alexandre Pires","1532","MULHER DAS ESTRELAS","Ela canta demais ela sabe o que diz","BRA","18B"
"Alexandre Pires","6302","NECESSIDADE","Beijar tua boca é a minha aventura ","BRA","5F"
"Alexandre Pires","15834","QUEM É VOCÊ","Eu descobri quem você é posso estar equivocado mas","BRA","28A"
"Alexandre Pires","7696","SE ELA ME AMASSE","Se ela me amasse a lua com o sol se","BRA","11B"
"Alexandre Pires","7697","SEM TEU AMOR NADA É IGUAL","Me pego remexendo em suas coisas","BRA","11C"
"Alexandre Pires","2877","SISSI","Laiá laiá laiá... Ai que dede ...","BRA","22C"
"Alexandre Pires","1472","SÓ POR UM MOMENTO","Olha aqui, não fique esperando","BRA","17D"
"Alexandre Pires","6988","TIRA ELA DE MIM","Tira a lembrança que ela deixou","BRA","8C"
"Alexandre Pires","6198","USTED SE ME LLEVÓ LA VIDA","Usted se me llevó la vida","ESP","5C"
"Alexandre Pires","6640","VEM ME AMAR (AMAME)","Vem aqui doce amor me ajuda a mudar esse","BRA","6F"
"Alexandre Pires - Daniel","1106","CHEGUEI TARDE DEMAIS","Não faz não quer não vem não fala nada","BRA","15B"
"Alexandre Pires - Fat Family","6764","AO SENTIR O AMOR","A sensacão de ver voce chegar sinto as","BRA","7D"
"Alexandre Pires - Ferrugem","17739","SO PRA ELA","Mal sabia eu que aquele domingo","BRA","40B"
"Alexandre Pires - Ivete Sangalo","17047","ESTRELA CADENTE (HUNTING HIGH AND LOW)","Dia noite e ceu","BRA","35D"
"Alexandre Pires - Jorge","17637","PODE PARAR","Quer mais de mim quer mais amor","BRA","39H"
"Alexandre Pires - Menos e Mais","17781","ARREBATADOR","Quando a gente se encontra o desejo paga a conta","BRA","40G"
"Alexandre Pires - Revelação","9655","DELIRIOS DE AMOR","Me lembro o dia que cheguei naquela festa","BRA","14A"
"Alexandre Pires - Seu Jorge","15408","EU SOU O SAMBA","Coisa linda muito prazer hoje você vai","BRA","25C"
"Alex e Ronaldo","16235","SEXTA FEIRA SUA LINDA","Fim de semana comecou","BRA","30C"
"Alex Warren","20719","ORDINARY","They say the holy waters watered down","EUA","INT15M"
"Aliados","15446","ÁGUAS PASSADAS","Deixa rolar deixa fluir só não deixe de ","BRA","25D"
"Aliados","15455","ESPERANÇA","Enquanto ela estiver aqui ainda haverá o","BRA","25D"
"Aliados","1153","SORRINDO","Ontem um sonho acabou","BRA","15C"
"Alice","5117","FUYU NO INAZUMA","Anata wa inazuma no youni","JAP","JP1"
"Alice","2266","IMA WA MOH DARE MO","Ima wa moh dare mo aishitakunai no","JAP","JP5B"
"Alice Cooper","19699","HOW YOU GONNA SEE ME NOW","Dear Darlin' surprised to hear from me
","EUA","INT09B"
"Alice Cooper","2526","I NEVER CRY","If there's a tear on my face","EUA","INT04A"
"Alice Cooper","9144","NO MORE MR. NICE GUY","I used to be such a sweet sweet thing","EUA","INT02-8D"
"Alice Cooper","20568","SCHOOL`S OUT","Well we got no choice all the girls and boys","EUA","INT14N"
"Alice in Chains","20302","MAN IN THE BOX","I`m the man in the box buried in my shit","EUA","INT13C"
"Alicia Bridges","19846","I LOVE THE NIGHTLIFE","Please don t talk about love tonight","EUA","INT10B"
"Alicia Keys","20254","EMPIRE STATE OF MIND (PART II) BROKEN DOWN","Oooh oh oh New York","EUA","INT12D"
"Alicia Keys","4890","FALLIN'","I keep on fallin' in and out love with","EUA",""
"Alicia Keys","19207","GIRL ON FIRE","She's just a girl and she's...
","EUA","INT06B"
"Alicia Keys","19529","IF I AIN'T GOT YOU","Some people live for the fortune
","EUA","INT08B"
"Alicia Keys","2568","NO ONE","I just want you close","EUA","INT04B"
"Alicia Keys","20709","TEENAGE LOVE AFFAIR","Can´t wait to get home","EUA","INT15L"
"Alien Ant Farm","4966","SMOOTH CRIMINAL","Ough! As he came into the window","EUA",""
"Aline Barros","2964","ÁGUAS DO TRONO","Águas que fluem do coração ","BRA","EVAN04D"
"Aline Barros","2948","AO ÚNICO","Ao Único que é digno de receber","BRA","EVAN04C"
"Aline Barros","2967","APAIXONADO","Você mudou meu jeito de pensar","BRA","EVAN04D"
"Aline Barros","2413","CARPINTEIRO","Um carpinteiro um homem...
","BRA","EVAN04A"
"Aline Barros","5605","CONSAGRAÇÃO","Ao Rei dos Reis consagro tudo o que","BRA","EVA"
"Aline Barros","2450","DANÇA DO PINGUIM","É assim assim","BRA","EVAN04B"
"Aline Barros","5606","DEUS DO IMPOSSÍVEL","O meu Deus é o Deus do impossível","BRA","EVA"
"Aline Barros","15488","DEUS EXTRAORDINÁRIO","Em toda história não se ouviu falar de um","BRA","26A"
"Aline Barros","7771","DIGNO É O SENHOR","Graças eu te dou Pai pelo preço que pagou","BRA","EVB"
"Aline Barros","5610","FICO FELIZ","U u u u... Fico feliz em vir em tua casa","BRA","EVA"
"Aline Barros","2455","HOMENZINHO TORTO","Havia um homenzinho torto","BRA","EVAN04B"
"Aline Barros","5615","JESUS CRISTO MUDOU MEU VIVER","U ei ê... Jesus Cristo mudou meu viver","BRA","EVA"
"Aline Barros","5616","JESUS FAZ PARTE","É eu pude crer e ver o Seu ...","BRA","EVA"
"Aline Barros","2429","PODER PRA SALVAR","Todos necessitam de um...
","BRA","EVAN04A"
"Aline Barros","2465","PULA-PULA","Hoje é dia de brincar pular dançar","BRA","EVAN04B"
"Aline Barros","9527","RECOMEÇAR","Pai tá difícil manter o caminho tenho andado","BRA","13E"
"Aline Barros","2468","REI MEU","Toda Terra está cheia da tua glória","BRA","EVAN04B"
"Aline Barros","2469","RENDIDO ESTOU","Toma-me rendido estou","BRA","EVAN04B"
"Aline Barros","7866","RENOVA-ME SENHOR","Renova-me renova-me renova-me Senhor","BRA","EVD"
"Aline Barros","1809","RESSUSCITA-ME","Mestre eu preciso de um milagre","BRA","20A"
"Aline Barros","2499","SANTIDADE","O meu melhor quero Te dar","BRA","EVAN04C"
"Aline Barros","1878","SONDA-ME, USA-ME","Sonda-me Senhor e me conhece","BRA","20B"
"Aline Barros","2438","VENTO DO ESPÍRITO","O vento sopra...
","BRA","EVAN04A"
"Aline Calixto","2867","FLOR MORENA","Flor morena que manda no meu coração","BRA","22C"
"Alinne Rosa","15650","COMPLICAMOS DEMAIS","Se eu fechar meus olhos posso te ver","BRA","27A"
"Alisson e Ryan","1388","NÃO SOU SEU BRINQUEDO","Pára dá um tempo vê se larga do meu","BRA","17B"
"Al Jarreau","5942","MORNIN'","Mornin' mister Radio","EUA",""
"Al Jarreau","9193","WE'RE IN THIS LOVE TOGETHER","It's like a diamond ring it's a precious","EUA","INT02-8F"
"All-4-One","4669","I SWEAR","I swear by the moon and","EUA","USAA"
"Allen Stone","19231","SLEEP","Spend my nights howlin","EUA","INT06B"
"Al Martino","4592","LOVE IS BLUE","Blue blue my world is blue","EUA","USAE"
"Almir Guinéto","17474","CAXAMBU","Olha vamos na danca do Caxambu sarava jongo","BRA","38H"
"Almir Guinéto","16189","MEL NA BOCA","Ohhh quanta mentira suportei 
","BRA","30B"
"Almir Rogério","3877","FUSCÃO PRETO","Me disseram que ela foi vista com outro","BRA","2G"
"Almir Rogério","1508","MOTOQUEIRO","Tudo certo para o nosso casamento","BRA","18A"
"Almir Sater","17462","BOIADA","Ele foi levando boi um dia ele se foi no rastro","BRA","38G"
"Almir Sater","1425","HORA DO CLARÃO","Ana Raio e Zé Trovão diz a ","BRA","17C"
"Almir Sater","9509","PEÃO","Diga você me conhece eu já ...","BRA","13E"
"Almir Sater","2939","TRAVESSIA DO ARAGUAIA","Naquele estradão deserto uma boiada","BRA","22D"
"Almir Sater","4379","UM VIOLEIRO TOCA","Quando uma estrela cai no escurão da","BRA","4C"
"Almir Sater","9559","VARANDAS","A noite é um mistério que eu finjo compreender","BRA","13D"
"Alok - Bastille","20515","RUN INTO TROUBLE","I drove past your house last night","EUA","INT14H"
"Alok - Bruno Martini - Zeeba","19820","HEAR ME NOW","If you get to hear me now","EUA","INT10A"
"Alok - IRO","20199","TABLE FOR 2","You don t need a million reasons","EUA","INT12B"
"Alok - Mathieu Koss","19857","BIG JET PLANE","Hello mister pleased to meet you","EUA","INT10B"
"Alok - MC Don Juan - DJ. GBR","17306","LIBERDADE (QUANDO O GRAVE BATE FORTE)","Faz uns dias que ela não sai agora que terminou","BRA","37G"
"Alok - Sigala - Ellie Golding","20581","ALL BY MYSELF","I lost my own belief always something breaking","EUA","INT14Q"
"Alphaville","9245","BIG IN JAPAN","Winter's cityside crystal bits of snowflakes","EUA",""
"Alphaville","2577","FOREVER YOUNG","Let's dance in style let's dance for","EUA","INT04B"
"Alphaville","20507","SOUNDS LIKE A MELODY","It´s a trick of my mind two faces bathing in the","EUA","INT14G"
"Al Stewart","4806","YEAR OF THE CAT","On a morning from a Bogart movie","EUA","USAG"
"Altay Veloso","17055","ENTRA E SAI DE AMOR","Baby a emocão me trouxe aqui","BRA","35D"
"Altemar Dutra","7045","A PRETENDIDA","Reclamas que te faltam meus carinhos","BRA","9A"
"Altemar Dutra","4465","BALADA TRISTE","Balada triste Que me faz lembrar alguém","BRA","4F"
"Altemar Dutra","7072","BLOCO DA SOLIDÃO","Laiá laiá... Angústia solidão ...","BRA","9B"
"Altemar Dutra","4067","BRIGAS","Veja só que tolice nós dois","BRA","3D"
"Altemar Dutra","16090","COMO DESEJO TEU AMOR","Como desejo teu amor quando me lembro
","BRA","29D"
"Altemar Dutra","6608","CONTIGO APRENDI","Contigo aprendi que existem coisas novas","BRA","6F"
"Altemar Dutra","3872","ESTÃO VOLTANDO AS FLORES","Vê... Estão voltando as...","BRA","2G"
"Altemar Dutra","7128","EU SONHEI QUE TU ESTAVAS TÃO LINDA","Eu sonhei que tu estavas tão linda","BRA","9F"
"Altemar Dutra","6496","MARIA HELENA","Maria Helena és tu a minha ...","BRA","6C"
"Altemar Dutra","6422","MEU VELHO (MI VIEJO)","É um bom tipo meu velho e anda só e","BRA","6A"
"Altemar Dutra","7181","MODINHA","Olho a rosa na janela sonho um sonho","BRA","9B"
"Altemar Dutra","1610","MURMURA AO MAR","Murmura o mar a derramar uma canção","BRA","18D"
"Altemar Dutra","17588","O FIM (THE END)","Por onde tu andares na certa encontraras","BRA","39C"
"Altemar Dutra","3926","O TROVADOR","Sonhei que eu era um dia um trovador","BRA","2H"
"Altemar Dutra","4130","QUE QUERES TU DE MIM?","Que queres tu de mim? que fazes junto","BRA","3E"
"Altemar Dutra","3540","SENTIMENTAL DEMAIS","Sentimental eu sou ...","BRA","1J"
"Altemar Dutra","6277","SOMOS IGUAIS","Acabei de saber que você riu de mim","BRA","5E"
"Altemar Dutra","9349","TUDO DE MIM","De que é feito afinal esse seu coração","BRA","12E"
"Altemar Dutra","7268","VAI ANDORINHA","Ao ver passar no céu as andorinhas","BRA","9A"
"Altemar Dutra - Martha Mendonça","1800","VELHA COMPANHEIRA","Não tenho ódio dentro do meu peito","BRA","19D"
"Álvaro e Daniel","1505","AQUI É O SEU LUGAR","É pra você que eu mando flores todas as","BRA","18A"
"Alvaro Tito","5557","NÃO CHORE","Tua vida em perigo, se envolver","BRA","EVAN101"
"Alvin and The Chipmunks","5883","CHRISTMAS DON'T BE LATE","Christmas Christmas time is near time for","EUA",""
"Amado Batista","4060","24 HORAS NO AR","Pare de pensar em besteira","BRA","3C"
"Amado Batista","15562","AGORA OU NUNCA MAIS","Sou um amor passageiro que ","BRA","26C"
"Amado Batista","7496","AMANTES","Já amanheceu e o tempo foi ...","BRA","11A"
"Amado Batista","9604","AMIGO FORTE","Como é linda a vida quando ","BRA","14E"
"Amado Batista","1683","AMOR MEU LOUCO AMOR","Além do teu olhar o que mais pode","BRA","19B"
"Amado Batista","9632","CARTA SOBRE A MESA","Deixe-me renascer viver e ...","BRA","14C"
"Amado Batista","16347","CHANCE","Quero te dizer baixinho com todo carinho","BRA","31B"
"Amado Batista","9417","CHUVA DE VENTO","Vento que venta lá fora leva esta saudade","BRA","13B"
"Amado Batista","4230","COMO NA PRIMEIRA VEZ","Quando o amor nos acontece","BRA","3H"
"Amado Batista","7583","DESISTO","Rosto que beijei corpo que abracei","BRA","11E"
"Amado Batista","16784","DESLIGA A LUZ E O TELEFONE","Olha amor eu vim de longe pra te ver","BRA","34A"
"Amado Batista","9677","EU QUERO É NAMORAR","Eu pensei Em te dar o  meu ...","BRA","14C"
"Amado Batista","7129","EU SOU SEU FÃ","Quando você me quiser quando resolver","BRA","9A"
"Amado Batista","16515","FOLHA SECA","Fazia um dia bonito quando ele chegou","BRA","32B"
"Amado Batista","15412","IMPÉRIO DOS SENTIDOS","Eu venho num sonho bonito das cores","BRA","25C"
"Amado Batista","16706","MENININHA MEU AMOR","Eu nao consigo esquecer voce","BRA","33C"
"Amado Batista","6941","MEU EX-AMOR","Eu tive um amor amor tão bonito daqueles que","BRA","8A"
"Amado Batista","2811","MUITOS COMPROMISSOS","Quanto tempo você vai chorar por mim","BRA","22A"
"Amado Batista","1921","NÃO QUERO FALAR COM ELA","Se ela ligar outra vez","BRA","20D"
"Amado Batista","6625","O FRUTO DO NOSSO AMOR (AMOR PERFEITO)","Amor perfeito existia entre nós dois","BRA","6F"
"Amado Batista","16867","O JULGAMENTO","Sempre quando eu voltava para o","BRA","34C"
"Amado Batista","16141","O NEGÓCIO DA CHINA","Eu vou levar você pra comer no meu apê
","BRA","30A"
"Amado Batista","4327","O POBRETÃO","Que pena que eu não posso ser","BRA","4B"
"Amado Batista","7656","O PRÍNCIPE","Eu não esqueço da primeira ...","BRA","11E"
"Amado Batista","3856","PRINCESA","Ao te ver pela primeira vez","BRA","2F"
"Amado Batista","15268","QUEM É VOCÊ","Quem é você que me escreve ","BRA","24C"
"Amado Batista","6975","RECLAMANDO SUA AUSÊNCIA","Eu sei foi o amor que fez você me amar","BRA","8A"
"Amado Batista","6353","SECRETÁRIA (ASSÉDIO SEXUAL)","Ela chega tão meiga e tão bela puxa as","BRA","5G"
"Amado Batista","16630","SERENATA","Ah como eu queria","BRA","33A"
"Amado Batista","9880","SERESTEIRO DAS NOITES","Existem momentos na vida que lembramos até","BRA","14A"
"Amado Batista","15633","TRAVESSEIRO AZUL","Tanto faz se é noite ou dia uma luz me","BRA","26D"
"Amado Batista","17240","TUM TUM DE SAUDADE","As vezes a minha cabeca parece faltar parafuso","BRA","36N"
"Amado Batista","9355","VÁ EMBORA","Vá embora do meu mundo não ","BRA","12A"
"Amado Batista","16993","VEM MORENA","Vem morena vem vem amar","BRA","35B"
"Amado Batista - Elias Vagner","17140","SOU IGUALZINHO A VOCE","Todo dia a mesma coisa tudo era sempre igual","BRA","36D"
"Amado Batista - Reginaldo Sodre","17061","A UNICA","Sempre quando eu chego em casa","BRA","35D"
"Amanda Magalhaes - Seu Jorge","16680","SAIBA","Amar voce e tao facil","BRA","33B"
"Amane Kaoru","18279","TAIYOH NO UTA","Furuete iru watashi no te ni hajimete","JAP","JP6B"
"Amelinha","3876","FOI DEUS QUEM FEZ VOCÊ","Foi Deus que fez o céu o rancho das estrelas","BRA","2G"
"Amelinha","3796","FREVO MULHER","Quantos aqui ouvem, os olhos eram de","BRA","2E"
"Amelinha","9288","MULHER NOVA, BONITA E CARINHOSA","Numa luta de gregos e troianos ","BRA","12B"
"America","9083","A HORSE WITH NO NAME","On the first part of the journey I was lookin' at","EUA","INT02-8E"
"America","5918","I NEED YOU","We used to laugh we used to cry","EUA",""
"America","5935","LONELY PEOPLE","This is for all the lonely people","EUA",""
"America","2630","SISTER GOLDEN HAIR","Well I tried to make it Sunday","EUA","INT04D"
"America","2558","TIN MAN","Sometimes late when things are real","EUA","INT04B"
"America","5997","VENTURA HIGHWAY","Chewing on a piece of grass","EUA",""
"America","20145","YOU CAN DO MAGIC","I never believed in things","EUA","INT12A"
"Amii Stewart","4929","KNOCK ON WOOD","I don't want to lose you","EUA",""
"Amin","2223","MATSU WA","Kawaii furi shite ano ko wari to yaru","JAP","JP5A"
"Ami Suzuki","5658","ALONE IN MY ROOM","Tanoshii kamo ne sou iu hitori...","JAP","JP3"
"Amuro Namie","5340","CAN YOU CELEBRATE","Can you celebrate? can you kiss me…","JAP","JP2"
"Amuro Namie","5341","CHASE THE CHANCE","Sonna jyanaiyo tanoshii dake…","JAP","JP2"
"Amuro Namie","18536","FIGHT TOGETHER","Yoga akeru mae ni tabidato mada minu","JAP","JP8A"
"Amuro Namie","18620","HERO","Ill be your hero Ill be your hero","JAP","JP8C"
"Amuro Namie","5711","I HAVE NEVER SEEN","Hajimete no kissu no koto...","JAP","JP3"
"Amuro Namie","5766","NEVER END","Tooi mirai datta tooi kuni datta...","JAP","JP3"
"Amuro Namie","5798","SAY THE WORD","Eien ni tsuzuku michi touku hatesh...","JAP","JP3"
"Amuro Namie","5294","STOP THE MUSIC","Take a brake...","JAP","JP1"
"Amuro Namie","5820","THINK OF ME","Wakari aeru mainichi ni...","JAP","JP3"
"Amuro Namie","5300","TRY ME (WATASHI O SHINDITE)","Dyuwaki no mukou anantano koe...","JAP","JP1"
"Amuro Namie","5838","WISHING ON THE SAME STAR","Kokoro kara anata o omou...","JAP","JP3"
"Amy Grant","19384","I'LL BE HOME FOR CHRISTMAS","I'm dreaming tonight of a place I love
","EUA","INT07B"
"Amy Lee","19762","DREAM TOO MUCH","There s a monkey in the band","EUA","INT09D"
"Amy Winehouse","2541","BACK TO BLACK","He left no time to regret","EUA","INT04B"
"Amy Winehouse","2546","LOVE IS A LOSING GAME","For you I was the flame","EUA","INT04B"
"Amy Winehouse","5959","REHAB","They tried to make me go to","EUA",""
"Amy Winehouse","5985","TEARS DRY ON THEIR OWN","All I can ever be to you","EUA",""
"Amy Winehouse","19596","VALERIE","Well sometimes I go out by myself
","EUA","INT08C"
"Amy Winehouse","2550","YOU KNOW I'M NO GOOD","Meet you downstairs in the bar and heard","EUA","INT04B"
"Ana Cañas","1981","A ANA","A Ana disse ontem ...","BRA","21A"
"Ana Cañas","1552","ESCONDERIJO","Procuro a solidão como o ar procura","BRA","18B"
"Ana Cañas","15272","SERÁ QUE VOCÊ ME AMA?","Tudo do avesso tudo certo tudo no começo","BRA","24C"
"Ana Cañas","15885","TE VER FELIZ","Na nara na... Eu não tenho uma letra 
","BRA","28C"
"Ana Carolina","1481","10 MINUTOS","Por que você não atende as ...","BRA","18A"
"Ana Carolina","7891","A CANÇÃO TOCOU NA HORA ERRADA","A canção tocou na hora errada ","BRA","12A"
"Ana Carolina","9393","AQUI","Aqui eu nunca disse que...
","BRA","13C"
"Ana Carolina","7921","CARVÃO","Surgiu como um clarão um...","BRA","12D"
"Ana Carolina","16025","COISAS","O meu corpo me deixa confusa quando o seu olhar
","BRA","29B"
"Ana Carolina","15288","COMBUSTÍVEL","Fiz de você meu combustível meu ","BRA","24D"
"Ana Carolina","7932","CONFESSO","Confesso acordei achando tudo indifere te","BRA","12D"
"Ana Carolina","1654","DOIS BICUDOS","Quando te vi andava tão desprevenido","BRA","19A"
"Ana Carolina","6413","ELA É BAMBA","Ela é bamba ela é bamba... ","BRA","6A"
"Ana Carolina","7348","ELEVADOR (LIVRO DE ESQUECIMENTO)","Pra que te espero de braços abertos","BRA","10C"
"Ana Carolina","9443","É MÁGOA","É mágoa já vou dizendo de antemão se eu","BRA","13D"
"Ana Carolina","6694","ENCOSTAR NA TUA","Eu quero te roubar pra mim","BRA","7B"
